id,po,so,name,item,itemdesc,qty,lineup,converting,fg,delivery,shipqty,date,deliverydate,comment,c,p,o,f,shipstatus,prodqty,pendingqty,orderstatus,creasingtime,printingtime,dcrtime,finishrtime,lineuptime,converttime,fgtime,lastedited,deliverytime
502,"",36,Boxmates Packaging Corporation,57x77.50 350lbs. BC-Flute (1448),1448,500,f,f,f,f,,2022-02-09,,,f,f,f,f,,,,Planner,,,,,,,,,
503,WS-22-203,458,WYNNSTAR PACKAGING CORP.,57x81.25 300lbs CB Flute (1448),1448,1220,f,f,f,f,,2022-05-17,,,f,f,f,f,,,,Planner,,,,,,,,,
504,0008004MI,699,Thousand Oaks Packaging Corporation-PPC,583x770 175lbs C Flute (583(140-125-140)),583(140-125-140),1500,f,f,f,f,,2022-06-27,,,f,f,f,f,,,,Planner,,,,,,,,,
505,0007793EN,305,Thousand Oaks Packaging Corporation-PPC,586x517 125lbs B Flute (586x517 (140-125-125)),586x517 (140-125-125),3500,f,f,f,f,,2022-04-25,,,f,f,f,f,,,,Planner,,,,,,,,,
506,0007858EN,452,Thousand Oaks Packaging Corporation-PPC,586x517 125lbs B Flute (586x517 (140-125-125)),586x517 (140-125-125),4000,f,f,f,f,,2022-05-17,,,f,f,f,f,,,,Planner,,,,,,,,,
507,0007969EN,639,Thousand Oaks Packaging Corporation-PPC,586x517 125lbs B Flute (586x517 (140-125-125)),586x517 (140-125-125),4000,f,f,f,f,,2022-06-14,,,f,f,f,f,,,,Planner,,,,,,,,,
508,3032,663,Qube International Packaging Corp-PPC,58x24 175lbs C Flute (1473),1473,3000,f,f,f,f,,2022-06-20,,,f,f,f,f,,,,Planner,,,,,,,,,
509,7211,607,SUH PACK (PHILS) INC.,58x48 250lbs BC Flute (1473),1473,500,f,f,f,f,,2022-06-03,,,f,f,f,f,,,,Planner,,,,,,,,,
510,7139,362,SUH PACK (PHILS) INC.,58x64 350lbs BC Flute (58x64(140-115-140-115-140)),58x64(140-115-140-115-140),500,f,f,f,f,,2022-05-06,,,f,f,f,f,,,,Planner,,,,,,,,,
511,7229,755,SUH PACK (PHILS) INC.,58x69.50 350lbs BC-Flute (1473),1473,500,f,f,f,f,,2022-07-08,,,f,f,f,f,,,,Planner,,,,,,,,,
512,7204,612,SUH PACK (PHILS) INC.,58x83.25 350lbs BC Flute (1473),1473,500,f,f,f,f,,2022-06-06,,,f,f,f,f,,,,Planner,,,,,,,,,
513,AP-40750-4,272,"AP CARTON BOX, INC.",596x880 350lbs BC Flute (596(140-115(3)-140)),596(140-115(3)-140),1300,f,f,f,f,,2022-04-23,,,f,f,f,f,,,,Planner,,,,,,,,,
514,AP-41277-4,479,"AP CARTON BOX, INC.",596x880 350lbs BC Flute (596(140-115(3)-140)),596(140-115(3)-140),1500,f,f,f,f,,2022-05-19,,,f,f,f,f,,,,Planner,,,,,,,,,
515,"",101,Thousand Oaks Packaging Corporation-PPC,597x1436 175lbs C-Flute (597x1436 175lbs CF),597x1436 175lbs CF,200,f,f,f,f,,2022-03-14,,,f,f,f,f,,,,Planner,,,,,,,,,
516,"",134,"AP CARTON BOX, INC.",599x501 175lbs C-Flute (599x501 175lbs),599x501 175lbs,2000,f,f,f,f,,2022-03-28,,,f,f,f,f,,,,Planner,,,,,,,,,
517,"",36,Boxmates Packaging Corporation,59x52 350lbs. BC-Flute (1499),1499,500,f,f,f,f,,2022-02-09,,,f,f,f,f,,,,Planner,,,,,,,,,
518,WS-22-207,500,WYNNSTAR PACKAGING CORP.,59x80 300lbs CB Flute (1499),1499,3550,f,f,f,f,,2022-05-21,,,f,f,f,f,,,,Planner,,,,,,,,,
519,22-00535,725,Exelpack Corporation,602x1250 300lbs BC Flute (602(150-115(4))),602(150-115(4)),350,f,f,f,f,,2022-07-06,,,f,f,f,f,,,,Planner,,,,,,,,,
520,AP-40629-4,181,"AP CARTON BOX, INC.",609x640 350lbs CB Flute (609x640 350lbs),609x640 350lbs,1030,f,f,f,f,,2022-04-06,,,f,f,f,f,,,,Planner,,,,,,,,,
521,AP-40749-4,264,"AP CARTON BOX, INC.",609x640 350lbs CB Flute (609x640 350lbs),609x640 350lbs,1020,f,f,f,f,,2022-04-20,,,f,f,f,f,,,,Planner,,,,,,,,,
522,AP-41276-4,480,"AP CARTON BOX, INC.",609x640 350lbs CB Flute (609x640 350lbs),609x640 350lbs,1020,f,f,f,f,,2022-05-19,,,f,f,f,f,,,,Planner,,,,,,,,,
523,AP-41437-4,573,"AP CARTON BOX, INC.",609x640 350lbs CB Flute (609x640 350lbs),609x640 350lbs,1020,f,f,f,f,,2022-05-31,,,f,f,f,f,,,,Planner,,,,,,,,,
524,AP-41153-4,442,"AP CARTON BOX, INC.",609x760 C Flute NT (465(115(3))),465(115(3)),1930,f,f,f,f,,2022-05-16,,,f,f,f,f,,,,Planner,,,,,,,,,
525,0522-0020,506,Classic Corrugated Packaging  Corp,60x34.64 175lbs C Flute (1524(140-125-140)),1524(140-125-140),334,f,f,f,f,,2022-05-24,,,f,f,f,f,,,,Planner,,,,,,,,,
526,7119,188,SUH PACK (PHILS) INC.,60x37.75 175lbs C-Flute (1524),1524,500,f,f,f,f,,2022-04-07,,,f,f,f,f,,,,Planner,,,,,,,,,
528,BMPC-22-152,617,Boxmates Packaging Corporation,60x50 175lbs C Flute (1524),1524,1000,f,f,f,f,,2022-06-07,,,f,f,f,f,,,,Planner,,,,,,,,,
529,"",604,Jinhong Packaging-PPC,60x50.25 125lbs C-Flute (156x1200x156),156x1200x156,1500,f,f,f,f,,2022-06-03,,,f,f,f,f,,,,Planner,,,,,,,,,
530,"",96,Jinhong Packaging-PPC,60x51.25 125lbs C-Flute (156x1200x156),156x1200x156,2000,f,f,f,f,,2022-03-11,,,f,f,f,f,,,,Planner,,,,,,,,,
531,"",50,Boxmates Packaging Corporation,60x54 175lbs B-Flute (1524),1524,600,f,f,f,f,,2022-02-15,,,f,f,f,f,,,,Planner,,,,,,,,,
532,BMPC-22-145,468,Boxmates Packaging Corporation,60x54 175lbs B-Flute (1524),1524,700,f,f,f,f,,2022-05-18,,,f,f,f,f,,,,Planner,,,,,,,,,
533,"",56,Boxmates Packaging Corporation,60x54 NT C-Flute (1524),1524,600,f,f,f,f,,2022-02-18,,,f,f,f,f,,,,Planner,,,,,,,,,
