id,po,so,name,item,itemdesc,qty,lineup,converting,fg,delivery,shipqty,date,deliverydate,comment,c,p,o,f,shipstatus,prodqty,pendingqty,orderstatus,creasingtime,printingtime,dcrtime,finishrtime,lineuptime,converttime,fgtime,lastedited,deliverytime
601,BMPC-22-188,678,Boxmates Packaging Corporation,66x96 NT C Flute (838),838,503,f,f,f,f,,2022-06-22,,,f,f,f,f,,,,Planner,,,,,,,,,
602,7123,218,SUH PACK (PHILS) INC.,67x55 175lbs C-Flute (67x55 175lbs),67x55 175lbs,500,f,f,f,f,,2022-04-12,,,f,f,f,f,,,,Planner,,,,,,,,,
603,8039,759,Thousand Oaks Packaging Corporation-PPC,685x614 175lbs B-Flute (685 (140-125-140)),685 (140-125-140),335,f,f,f,f,,2022-07-08,,,f,f,f,f,,,,Planner,,,,,,,,,
604,7122,219,SUH PACK (PHILS) INC.,68x60 NT C-Flute (68x60 NT),68x60 NT,500,f,f,f,f,,2022-04-12,,,f,f,f,f,,,,Planner,,,,,,,,,
605,0007769EL,235,Thousand Oaks Packaging Corporation-PPC,695x713 125lbs B-Flute (695x713 (140-125-125)),695x713 (140-125-125),5000,f,f,f,f,,2022-04-18,,,f,f,f,f,,,,Planner,,,,,,,,,
606,0007883EL,527,Thousand Oaks Packaging Corporation-PPC,695x713 125lbs B-Flute (695x713 (140-125-125)),695x713 (140-125-125),5100,f,f,f,f,,2022-05-25,,,f,f,f,f,,,,Planner,,,,,,,,,
607,22-00347,384,Exelpack Corporation,697x2227 350lbs BC Flute (697(150-115-150-115-150)),697(150-115-150-115-150),1050,f,f,f,f,,2022-05-11,,,f,f,f,f,,,,Planner,,,,,,,,,
608,AP-41207-4,471,"AP CARTON BOX, INC.",698x1488 350lbs CB Flute (698),698,1000,f,f,f,f,,2022-05-18,,,f,f,f,f,,,,Planner,,,,,,,,,
609,MPC-PO805-0078-0022,482,MINA MOTO PACKAGING CORPORATION,698x1955 350lbs SPL BC Flute (698(175-115(3)175)),698(175-115(3)175),4010,f,f,f,f,,2022-05-19,,,f,f,f,f,,,,Planner,,,,,,,,,
610,0007793EN,305,Thousand Oaks Packaging Corporation-PPC,698x515 NT B-Flute (698x515 (125-125-125)),698x515 (125-125-125),1000,f,f,f,f,,2022-04-25,,,f,f,f,f,,,,Planner,,,,,,,,,
611,0007859EN,454,Thousand Oaks Packaging Corporation-PPC,698x515 NT B-Flute (698x515 (125-125-125)),698x515 (125-125-125),2500,f,f,f,f,,2022-05-17,,,f,f,f,f,,,,Planner,,,,,,,,,
612,"",501,Jinhong Packaging-PPC,7.75x27.25 300lbs BC-Flute (210x273x210),210x273x210,20000,f,f,f,f,,2022-05-21,,,f,f,f,f,,,,Planner,,,,,,,,,
613,3032,663,Qube International Packaging Corp-PPC,70x28 175lbs C Flute (1778),1778,1500,f,f,f,f,,2022-06-20,,,f,f,f,f,,,,Planner,,,,,,,,,
614,MPCPO22-00121,314,MINA MOTO PACKAGING CORPORATION,710x2025 350lbs BC-Flute (710x2025 (150-115(3)-150)),710x2025 (150-115(3)-150),250,f,f,f,f,,2022-04-27,,,f,f,f,f,,,,Planner,,,,,,,,,
615,22-00548,748,Exelpack Corporation,721x1465 300lbs BC-Flute (721 (150-115(4)),721 (150-115(4),500,f,f,f,f,,2022-07-07,,,f,f,f,f,,,,Planner,,,,,,,,,
616,0007793EN,305,Thousand Oaks Packaging Corporation-PPC,722x453 125lbs B Flute (722x453 (140-125-125)),722x453 (140-125-125),3000,f,f,f,f,,2022-04-25,,,f,f,f,f,,,,Planner,,,,,,,,,
617,C-002343,598,AP CARTON BOX INC - LAGUNA,724x1160 350lbs BC-Flute (262x200x262 (150-115(3)-150)),262x200x262 (150-115(3)-150),1000,f,f,f,f,,2022-06-02,,,f,f,f,f,,,,Planner,,,,,,,,,
618,V2PO22-01395,409,Exelpack Corporation,729x2201 350lbs BC Flute (729(150-115(3)-150)),729(150-115(3)-150),1155,f,f,f,f,,2022-05-12,,,f,f,f,f,,,,Planner,,,,,,,,,
619,22-00409,590,Exelpack Corporation,729x2201 350lbs BC Flute (729(150-115(3)-150)),729(150-115(3)-150),600,f,f,f,f,,2022-06-02,,,f,f,f,f,,,,Planner,,,,,,,,,
620,3019,596,Qube International Packaging Corp-PPC,72x43 175lbs C Flute (457),457,334,f,f,f,f,,2022-06-02,,,f,f,f,f,,,,Planner,,,,,,,,,
621,22-00361,427,Exelpack Corporation,733x2205 350lbs BC Flute (733x(150-115(3)150)),733x(150-115(3)150),1100,f,f,f,f,,2022-05-14,,,f,f,f,f,,,,Planner,,,,,,,,,
622,22-00289,231,Exelpack Corporation,733x2205 350lbs BC-Flute (733x2205 350lbs),733x2205 350lbs,900,f,f,f,f,,2022-04-13,,,f,f,f,f,,,,Planner,,,,,,,,,
623,0007882UM,526,Thousand Oaks Packaging Corporation-PPC,740x626 300lbs BC flute (740),740,200,f,f,f,f,,2022-05-25,,,f,f,f,f,,,,Planner,,,,,,,,,
624,0007969EN,639,Thousand Oaks Packaging Corporation-PPC,746x383  NT B Flute (746),746,3000,f,f,f,f,,2022-06-14,,,f,f,f,f,,,,Planner,,,,,,,,,
625,22-00282,202,Exelpack Corporation,751x822 175lbs B-Flute (751x822 175lbs),751x822 175lbs,5300,f,f,f,f,,2022-04-08,,,f,f,f,f,,,,Planner,,,,,,,,,
626,7144,488,SUH PACK (PHILS) INC.,75x59 175lbs C Flute (1905),1905,500,f,f,f,f,,2022-05-19,,,f,f,f,f,,,,Planner,,,,,,,,,
627,0007768NM,234,Thousand Oaks Packaging Corporation-PPC,762x660 175lbs B-Flute (762x660 140-125-140),762x660 140-125-140,125,f,f,f,f,,2022-04-18,,,f,f,f,f,,,,Planner,,,,,,,,,
628,AP-40940-4,321,"AP CARTON BOX, INC.",764x1853 300lbs BC-Flute (182x400x182 (140-115(4)),182x400x182 (140-115(4),1010,f,f,f,f,,2022-04-27,,,f,f,f,f,,,,Planner,,,,,,,,,
629,22-00406,586,Exelpack Corporation,765x2100 300lbs BC Flute (19431(150-115(3))),19431(150-115(3)),600,f,f,f,f,,2022-06-01,,,f,f,f,f,,,,Planner,,,,,,,,,
630,8039,759,Thousand Oaks Packaging Corporation-PPC,767x1049 175lbs B-Flute (767 (140-125-140)),767 (140-125-140),1000,f,f,f,f,,2022-07-08,,,f,f,f,f,,,,Planner,,,,,,,,,
631,7129,309,SUH PACK (PHILS) INC.,76x47 175lbs C Flute (76x47 (140-115-140)),76x47 (140-115-140),500,f,f,f,f,,2022-04-25,,,f,f,f,f,,,,Planner,,,,,,,,,
632,7205,579,SUH PACK (PHILS) INC.,76x47 175lbs C Flute (76x47 (140-115-140)),76x47 (140-115-140),850,f,f,f,f,,2022-06-01,,,f,f,f,f,,,,Planner,,,,,,,,,
633,22-00407,587,Exelpack Corporation,770x824 175lbs B Flute (770(150-125-150)),770(150-125-150),1300,f,f,f,f,,2022-06-02,,,f,f,f,f,,,,Planner,,,,,,,,,
634,0007883EL,527,Thousand Oaks Packaging Corporation-PPC,779x797 125lbs B-Flute (779(140-125-125)),779(140-125-125),2500,f,f,f,f,,2022-05-25,,,f,f,f,f,,,,Planner,,,,,,,,,
635,0007765EN,238,Thousand Oaks Packaging Corporation-PPC,779x797mm 125lbs. B-Flute (779x797 (140-125-125)),779x797 (140-125-125),300,f,f,f,f,,2022-04-19,,,f,f,f,f,,,,Planner,,,,,,,,,
636,3019,596,Qube International Packaging Corp-PPC,78x75.25 175lbs C Flute (991),991,300,f,f,f,f,,2022-06-02,,,f,f,f,f,,,,Planner,,,,,,,,,
637,22-00403,584,Exelpack Corporation,793x848 175lbs B Flute (793(150-125-150)),793(150-125-150),2205,f,f,f,f,,2022-06-01,,,f,f,f,f,,,,Planner,,,,,,,,,
638,0008004MI,699,Thousand Oaks Packaging Corporation-PPC,801x1648 350lbs BC Flute (801(140-125(3)140)),801(140-125(3)140),100,f,f,f,f,,2022-06-27,,,f,f,f,f,,,,Planner,,,,,,,,,
639,22-00468,657,Exelpack Corporation,803x2607 350lbs SPL (803 (150-115-150-115-150)),803 (150-115-150-115-150),580,f,f,f,f,,2022-06-18,,,f,f,f,f,,,,Planner,,,,,,,,,
640,7143,416,SUH PACK (PHILS) INC.,80x81.75 175lbs C Flute (2032),2032,250,f,f,f,f,,2022-05-13,,,f,f,f,f,,,,Planner,,,,,,,,,
641,V2PO22-01568,561,Exelpack Corporation,810x1011 350lbs BC Flute (810(150-115(3)150)),810(150-115(3)150),3471,f,f,f,f,,2022-05-28,,,f,f,f,f,,,,Planner,,,,,,,,,
642,22-00404,595,Exelpack Corporation,822x801 175lbs B Flute (822(150-125-150)),822(150-125-150),1000,f,f,f,f,,2022-06-02,,,f,f,f,f,,,,Planner,,,,,,,,,
643,7203,548,SUH PACK (PHILS) INC.,82x48 350lbs BC Flute (1041),1041,870,f,f,f,f,,2022-05-27,,,f,f,f,f,,,,Planner,,,,,,,,,
644,AP-41084-3,440,"AP CARTON BOX, INC.",835x1543 350lbs SPL CB Flute (598x237x598(200-125-150-125-200) (m to f)),598x237x598(200-125-150-125-200) (m to f),1000,f,f,f,f,,2022-05-16,,,f,f,f,f,,,,Planner,,,,,,,,,
645,7132,320,SUH PACK (PHILS) INC.,85.50x48.50 175lbs C-Flute (2172 (140-115-140)),2172 (140-115-140),840,f,f,f,f,,2022-04-27,,,f,f,f,f,,,,Planner,,,,,,,,,
646,MPCPO22-00247,714,MINA MOTO PACKAGING CORPORATION,851x500 175lbs B Flute (851(150-125-150)),851(150-125-150),2505,f,f,f,f,,2022-07-01,,,f,f,f,f,,,,Planner,,,,,,,,,
647,7228,753,SUH PACK (PHILS) INC.,86x55.50 175lbs C-Flute (2184),2184,250,f,f,f,f,,2022-07-07,,,f,f,f,f,,,,Planner,,,,,,,,,
648,"",151,Exelpack Corporation,870x510 175lbs B-Flute (870x510 175lbs),870x510 175lbs,536,f,f,f,f,,2022-04-01,,,f,f,f,f,,,,Planner,,,,,,,,,
649,V2PO2201840,692,Exelpack Corporation,870x558 175lbs B Flute (870(150-125-150)),870(150-125-150),1313,f,f,f,f,,2022-06-27,,,f,f,f,f,,,,Planner,,,,,,,,,
650,V2PO22-01389,408,Exelpack Corporation,870x622 175lbs B Flute (870(150-125-150)),870(150-125-150),3176,f,f,f,f,,2022-05-12,,,f,f,f,f,,,,Planner,,,,,,,,,
651,"",101,Thousand Oaks Packaging Corporation-PPC,873x2256 300lbs BC_Flute (873x2256 300lbs BCF),873x2256 300lbs BCF,200,f,f,f,f,,2022-03-14,,,f,f,f,f,,,,Planner,,,,,,,,,
652,AP-41118-4,420,"AP CARTON BOX, INC.",884x1320 350lbs CB Flute (252x380x252 (m to f)),252x380x252 (m to f),2870,f,f,f,f,,2022-05-13,,,f,f,f,f,,,,Planner,,,,,,,,,
653,AP-41278-4,476,"AP CARTON BOX, INC.",884x1320 350lbs CB Flute (252x380x252 (m to f)),252x380x252 (m to f),2360,f,f,f,f,,2022-05-19,,,f,f,f,f,,,,Planner,,,,,,,,,
654,AP-41974-4,754,"AP CARTON BOX, INC.",884x1320 350lbs CB Flute (252x380x252 (m to f)),252x380x252 (m to f),2260,f,f,f,f,,2022-07-08,,,f,f,f,f,,,,Planner,,,,,,,,,
655,22-00534,726,Exelpack Corporation,885x755 350lbs BC Flute (885(150-115(3)-150)),885(150-115(3)-150),1400,f,f,f,f,,2022-07-06,,,f,f,f,f,,,,Planner,,,,,,,,,
656,3734,757,ContainerBoard & Packaging Company Inc.,889x1252 175lbs B-Flute (889 (140-125-140)),889 (140-125-140),500,f,f,f,f,,2022-07-08,,,f,f,f,f,,,,Planner,,,,,,,,,
657,0007887LT,513,Thousand Oaks Packaging Corporation-PPC,902x470 175lbs B Flute (902(140-125-140)),902(140-125-140),250,f,f,f,f,,2022-05-24,,,f,f,f,f,,,,Planner,,,,,,,,,
658,MPCPO22-00153,396,MINA MOTO PACKAGING CORPORATION,910x670 175lbs B Flute (910(150-115-150)),910(150-115-150),420,f,f,f,f,,2022-05-12,,,f,f,f,f,,,,Planner,,,,,,,,,
659,MPCP022-00139,347,MINA MOTO PACKAGING CORPORATION,913x1821 350lbs BC Flute (913(150-105(3)-150)),913(150-105(3)-150),400,f,f,f,f,,2022-05-04,,,f,f,f,f,,,,Planner,,,,,,,,,
660,AP-41129-4,415,"AP CARTON BOX, INC.",920x1680 300lbs CB Flute (920(140-115(4))),920(140-115(4)),600,f,f,f,f,,2022-05-13,,,f,f,f,f,,,,Planner,,,,,,,,,
661,7796,303,Thousand Oaks Packaging Corporation-PPC,922x909 175lbs C-Flute (922x909 (140-125-140)),922x909 (140-125-140),250,f,f,f,f,,2022-04-25,,,f,f,f,f,,,,Planner,,,,,,,,,
662,0007897CS,532,Thousand Oaks Packaging Corporation-PPC,930x459 125lbs B Flute (930(140-125-125)),930(140-125-125),1000,f,f,f,f,,2022-05-25,,,f,f,f,f,,,,Planner,,,,,,,,,
663,22-00342,380,Exelpack Corporation,934x880 350lbs BC Flute (934(150-115(3)-150)),934(150-115(3)-150),350,f,f,f,f,,2022-05-11,,,f,f,f,f,,,,Planner,,,,,,,,,
664,22-00546,749,Exelpack Corporation,948x1920 350lbs SPL (948(150-115-150-115-150)),948(150-115-150-115-150),500,f,f,f,f,,2022-07-07,,,f,f,f,f,,,,Planner,,,,,,,,,
665,22-00459,649,Exelpack Corporation,950x750 350lbs BC Flute (950(150-115(3)150)),950(150-115(3)150),650,f,f,f,f,,2022-06-16,,,f,f,f,f,,,,Planner,,,,,,,,,
666,7553,40,Thousand Oaks Packaging Corporation-PPC,958x1376 175lbs C-Flute (958),958,100,f,f,f,f,,2022-02-10,,,f,f,f,f,,,,Planner,,,,,,,,,
667,7553,40,Thousand Oaks Packaging Corporation-PPC,958x1716 175lbs C-Flute (958),958,50,f,f,f,f,,2022-02-10,,,f,f,f,f,,,,Planner,,,,,,,,,
668,AP-40616-4,174,"AP CARTON BOX, INC.",962x1226 350lbs BC-Flute (271x420x271),271x420x271,1200,f,f,f,f,,2022-04-05,,,f,f,f,f,,,,Planner,,,,,,,,,
669,AP-0748-4,276,"AP CARTON BOX, INC.",962x1226 350lbs BC-Flute (271x420x271),271x420x271,1630,f,f,f,f,,2022-04-23,,,f,f,f,f,,,,Planner,,,,,,,,,
670,0007859EN,454,Thousand Oaks Packaging Corporation-PPC,962x517 125lbs B Flute (962),962,3500,f,f,f,f,,2022-05-17,,,f,f,f,f,,,,Planner,,,,,,,,,
671,0007969EN,639,Thousand Oaks Packaging Corporation-PPC,962x517 125lbs B Flute (962),962,4000,f,f,f,f,,2022-06-14,,,f,f,f,f,,,,Planner,,,,,,,,,
672,AP-40753-4,232,"AP CARTON BOX, INC.",970x2298 350lbs BC-Flute (230x510x230 (m to f)),230x510x230 (m to f),1010,f,f,f,f,,2022-04-13,,,f,f,f,f,,,,Planner,,,,,,,,,
673,AP-41971-4,752,"AP CARTON BOX, INC.",970x2298 350lbs BC-Flute (230x510x230 (m to f)),230x510x230 (m to f),1150,f,f,f,f,,2022-07-07,,,f,f,f,f,,,,Planner,,,,,,,,,
674,"",501,Jinhong Packaging-PPC,9x27.25 300lbs BC-Flute (210x273x210),210x273x210,10000,f,f,f,f,,2022-05-21,,,f,f,f,f,,,,Planner,,,,,,,,,
675,"",1,Philpack Comm'l Ent. Inc.,AJC-0001 (Plain Box 200lbs340x210x268mmO.D.),Plain Box 200lbs340x210x268mmO.D.,1000,f,f,f,f,,2021-12-16,,,f,f,f,f,,,,Planner,,,,,,,,,
676,"",1,Philpack Comm'l Ent. Inc.,AJC-0002 (Ultima Epoxy Finish 12x1Liter),Ultima Epoxy Finish 12x1Liter,2000,f,f,f,f,,2021-12-16,,,f,f,f,f,,,,Planner,,,,,,,,,
677,3936,715,BEWELL CORPORATION,BWL-001 (BEWELL CORPORATION FERIX),BEWELL CORPORATION FERIX,1000,f,f,f,f,,2022-07-01,,,f,f,f,f,,,,Planner,,,,,,,,,
678,"",291,Jinhong Packaging-PPC,JIHN-010 PROTIRE 500ml x 24 (124X223X124 (200lbs)),124X223X124 (200lbs),5000,f,f,f,f,,2022-04-25,,,f,f,f,f,,,,Planner,,,,,,,,,
679,"",285,Jinhong Packaging-PPC,JINH-004 SKY MOTOR 500ml x 24 (127x213x127 (200lbs)),127x213x127 (200lbs),5000,f,f,f,f,,2022-04-25,,,f,f,f,f,,,,Planner,,,,,,,,,
680,"",288,Jinhong Packaging-PPC,JINH-007 MRTR 500ml x 24 (127x213x127 (200lbs)),127x213x127 (200lbs),5000,f,f,f,f,,2022-04-25,,,f,f,f,f,,,,Planner,,,,,,,,,
681,"",289,Jinhong Packaging-PPC,JINH-008 SKYMOTOR 500ml x 24 (124x223x124 (200lbs)),124x223x124 (200lbs),5000,f,f,f,f,,2022-04-25,,,f,f,f,f,,,,Planner,,,,,,,,,
682,"",267,Jinhong Packaging-PPC,JINH-012 (368x244x222mm 300lbs),368x244x222mm 300lbs,513,f,f,f,f,,2022-04-21,,,f,f,f,f,,,,Planner,,,,,,,,,
683,"",578,Jinhong Packaging-PPC,JINH-019 EXTREME ONE 500ml x 24 (124x223x124 (150-150-150) 200lbs),124x223x124 (150-150-150) 200lbs,5000,f,f,f,f,,2022-06-01,,,f,f,f,f,,,,Planner,,,,,,,,,
684,"",578,Jinhong Packaging-PPC,JINH-021 LAZX 500ml x 24 (127x213x127 (150-150-150) 200lbs),127x213x127 (150-150-150) 200lbs,1000,f,f,f,f,,2022-06-01,,,f,f,f,f,,,,Planner,,,,,,,,,
685,"",630,Jinhong Packaging-PPC,JINH-022 (654x279x870 300lbs. BC-Flute),654x279x870 300lbs. BC-Flute,3000,f,f,f,f,,2022-06-11,,,f,f,f,f,,,,Planner,,,,,,,,,
686,"",706,Jinhong Packaging-PPC,JINH-023 (124x223x124),124x223x124,2000,f,f,f,f,,2022-06-29,,,f,f,f,f,,,,Planner,,,,,,,,,
687,"",717,Jinhong Packaging-PPC,JINH-024 (176x251x176 200lbs C-Flute),176x251x176 200lbs C-Flute,20000,f,f,f,f,,2022-07-01,,,f,f,f,f,,,,Planner,,,,,,,,,
688,"",738,Jinhong Packaging-PPC,JINH-025 (127x213x127 200lbs),127x213x127 200lbs,2000,f,f,f,f,,2022-07-07,,,f,f,f,f,,,,Planner,,,,,,,,,
689,"",744,Jinhong Packaging-PPC,JINH-026 (129x225x129 200lbs),129x225x129 200lbs,3000,f,f,f,f,,2022-07-07,,,f,f,f,f,,,,Planner,,,,,,,,,
690,"",492,Jinhong Packaging-PPC,JINH-S (ASSORTED SCRAP),ASSORTED SCRAP,2544,f,f,f,f,,2022-05-19,,,f,f,f,f,,,,Planner,,,,,,,,,
691,"",1,Philpack Comm'l Ent. Inc.,KTOR-0001 (Plain 343x343x200mm O.D. 175lbs. C-Flute),Plain 343x343x200mm O.D. 175lbs. C-Flute,1500,f,f,f,f,,2021-12-16,,,f,f,f,f,,,,Planner,,,,,,,,,
692,"",68,OAKWAVE PHILIPPINES CORPORATION,OPC-0003 Singleface (280x430mm Single Face B-Flute CM/CM),280x430mm Single Face B-Flute CM/CM,5,f,f,f,f,,2022-03-01,,,f,f,f,f,,,,Planner,,,,,,,,,
693,"",84,OAKWAVE PHILIPPINES CORPORATION,OPC-0003 Singleface (280x430mm Single Face B-Flute CM/CM),280x430mm Single Face B-Flute CM/CM,10000,f,f,f,f,,2022-03-07,,,f,f,f,f,,,,Planner,,,,,,,,,
694,"",68,OAKWAVE PHILIPPINES CORPORATION,OPC-001 BOX N (440x290x330mm Box N w/ print),440x290x330mm Box N w/ print,5,f,f,f,f,,2022-03-01,,,f,f,f,f,,,,Planner,,,,,,,,,
695,"",68,OAKWAVE PHILIPPINES CORPORATION,OPC-002 BOX S (440x290x160mm Box S w/ print),440x290x160mm Box S w/ print,5,f,f,f,f,,2022-03-01,,,f,f,f,f,,,,Planner,,,,,,,,,
696,"",721,Philpack Comm'l Ent. Inc.,pp plain box (20x20x20 300lbs),20x20x20 300lbs,50,f,f,f,f,,2022-07-05,,,f,f,f,f,,,,Planner,,,,,,,,,
697,"",2,Philpack Comm'l Ent. Inc.,PPACK-0001 (Liberty Luncheon Meat 24x375g),Liberty Luncheon Meat 24x375g,1,f,f,f,f,,2021-12-16,,,f,f,f,f,,,,Planner,,,,,,,,,
698,831,4,Philpack Comm'l Ent. Inc.,PPACK-0002 (16-5/8x7-3/8x5-1/4 Plain Box 125lbs. C),16-5/8x7-3/8x5-1/4 Plain Box 125lbs. C,5085,f,f,f,f,,2022-01-13,,,f,f,f,f,,,,Planner,,,,,,,,,
699,"",80,Philpack Comm'l Ent. Inc.,PPACK-0003 (28x27x13cm 125lbs C-Flute),28x27x13cm 125lbs C-Flute,500,f,f,f,f,,2022-03-04,,,f,f,f,f,,,,Planner,,,,,,,,,
700,"",80,Philpack Comm'l Ent. Inc.,PPACK-0004 (25x25x23cm 125lbs C-Flute),25x25x23cm 125lbs C-Flute,500,f,f,f,f,,2022-03-04,,,f,f,f,f,,,,Planner,,,,,,,,,
701,"",95,Philpack Comm'l Ent. Inc.,PPACK-005 (390x388x263 350lbs BC-Flute),390x388x263 350lbs BC-Flute,2000,f,f,f,f,,2022-03-11,,,f,f,f,f,,,,Planner,,,,,,,,,
702,915,370,Philpack Comm'l Ent. Inc.,PPACK-015 200lbs C Flute (165x63x165),165x63x165,1000,f,f,f,f,,2022-05-10,,,f,f,f,f,,,,Planner,,,,,,,,,
703,915,371,Philpack Comm'l Ent. Inc.,PPACK-016 200lbs C Flute (165x63x165),165x63x165,1000,f,f,f,f,,2022-05-10,,,f,f,f,f,,,,Planner,,,,,,,,,
704,915,372,Philpack Comm'l Ent. Inc.,PPACK-017 200lbs C Flute (165x63x165),165x63x165,1000,f,f,f,f,,2022-05-10,,,f,f,f,f,,,,Planner,,,,,,,,,
705,948,696,Philpack Comm'l Ent. Inc.,PPACK-018 (156x124x156(150-150-150)),156x124x156(150-150-150),3000,f,f,f,f,,2022-06-27,,,f,f,f,f,,,,Planner,,,,,,,,,
706,948,696,Philpack Comm'l Ent. Inc.,PPACK-019 (156x124x156(150-150-150)),156x124x156(150-150-150),2000,f,f,f,f,,2022-06-27,,,f,f,f,f,,,,Planner,,,,,,,,,
707,3885,631,PHILIPPINE TOEI CHEMICAL CORPORATION,TOEI-003 (Corr. Box 560x360x300 350lbs.),Corr. Box 560x360x300 350lbs.,2000,f,f,f,f,,2022-06-11,,,f,f,f,f,,,,Planner,,,,,,,,,
708,3885,631,PHILIPPINE TOEI CHEMICAL CORPORATION,TOEI-004 (Corr. Box 520x340x250 350lbs.),Corr. Box 520x340x250 350lbs.,2000,f,f,f,f,,2022-06-11,,,f,f,f,f,,,,Planner,,,,,,,,,
709,3885,631,PHILIPPINE TOEI CHEMICAL CORPORATION,TOEI-008 (Corr. Box 527x346x145 350lbs.),Corr. Box 527x346x145 350lbs.,500,f,f,f,f,,2022-06-11,,,f,f,f,f,,,,Planner,,,,,,,,,
3,626,723,Heavy Duty Packaging Corporation,1008x1664 300lbs BC-Flute (1008 (140-125(4))),1008 (140-125(4)),500,t,t,t,t,500,2022-07-06,2022-08-08,samples,t,t,t,t,Partial Delivery,500,500,Delivery,2022-08-05 22:22:26,2022-08-05 22:22:26,2022-08-05 22:22:26,2022-08-05 22:22:26,,,2022-08-06 16:34:04,2022-08-06 16:34:19,2022-08-06 16:34:19
82,626,723,Heavy Duty Packaging Corporation,1580x2300 350lbs BC-Flute (1580 (140-125(3)-140)),1580 (140-125(3)-140),500,t,f,f,f,,2022-07-06,,,f,f,f,f,,,,Lineup,,,,,,,,,
79,626,723,Heavy Duty Packaging Corporation,1560x2300 300lbs  BC Flute (1560(140-125(4))),1560(140-125(4)),500,t,f,f,f,,2022-07-06,,,f,f,f,f,,,,Lineup,,,,,,,,,
